Method,Execution Time (s),CPU Usage (%),Memory Used (MB),Alignment Length,Gap Percentage (%),Conservation Score
Pair,0.013018369674682617,97.7,0.21875,3,0.0,0.0
ClustalW,0.036397457122802734,50.4,0.125,24,31.818181818181817,0.3333333333333333
Genetic Algorithm,44.17970538139343,99.1,7.65234375,23,17.391304347826086,1.0
Pair,0.03441786766052246,100.8,0.0,3,0.0,0.0
ClustalW,0.07360076904296875,80.1,0.0,23,30.76923076923077,0.5714285714285714
Genetic Algorithm,7.7129199504852295,99.2,-0.984375,24,25.0,1.0
Pair,0.012869119644165039,0.0,0.0,3,0.0,0.0
ClustalW,0.0461575984954834,66.5,0.00390625,21,21.052631578947366,0.5
Genetic Algorithm,3.758648633956909,98.3,0.00390625,18,11.11111111111111,1.0
Pair,0.01558375358581543,104.2,0.0,3,0.0,0.0
ClustalW,0.03178048133850098,0.0,0.00390625,21,11.76470588235294,0.5333333333333333
Genetic Algorithm,0.7560315132141113,97.9,0.0,15,0.0,1.0
